COUNTER,INTERPOLATED,RAW_CQ,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, ES_TIMESTAMPFUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
19,0,0,3939.48717948718,4428.20512820513,3873.84615384615,4172.82051282051,4114.8717948718,4427.17948717949,4568.20512820513,4656.41025641026,3959.48717948718,4245.64102564103,4081.53846153846,3872.82051282051,4424.61538461538,4632.30769230769,1682,1693,0.879,0,0,0,0,0,
20,0,0,3937.94871794872,4427.17948717949,3861.02564102564,4169.23076923077,4117.4358974359,4424.10256410256,4568.20512820513,4655.38461538462,3959.48717948718,4236.41025641026,4087.17948717949,3875.89743589744,4425.12820512821,4646.66666666667,1683,1692,0.879,0,0,0,0,0,
21,0,0,3937.94871794872,4423.07692307692,3861.02564102564,4171.28205128205,4124.61538461538,4425.64102564103,4568.71794871795,4653.33333333333,3959.48717948718,4237.4358974359,4092.30769230769,3905.64102564103,4429.23076923077,4662.05128205128,1683,1692,0.879,0,0,0,0,0,
22,0,0,3940,4418.97435897436,3861.53846153846,4169.74358974359,4124.61538461538,4427.17948717949,4567.69230769231,4656.92307692308,3959.48717948718,4249.74358974359,4091.28205128205,3891.79487179487,4430.25641025641,4653.33333333333,1683,1693,0.879,0,0,0,0,0,
23,0,0,3958.46153846154,4415.38461538462,3865.64102564103,4171.28205128205,4131.28205128205,4427.17948717949,4567.17948717949,4658.46153846154,3959.48717948718,4254.35897435897,4095.89743589744,3887.17948717949,4433.84615384615,4655.38461538462,1683,1693,0.879,0.0390960983932018,0,0,0,0,
24,0,0,3974.8717948718,4427.69230769231,3884.61538461539,4184.10256410256,4137.4358974359,4435.38461538462,4568.20512820513,4655.89743589744,3959.48717948718,4264.10256410256,4103.07692307692,3927.69230769231,4444.61538461538,4685.12820512821,1683,1695,0.916,0.0390960983932018,0,0,0,0,
25,0,0,3967.69230769231,4446.66666666667,3898.97435897436,4193.33333333333,4140,4448.20512820513,4568.71794871795,4654.35897435897,3959.48717948718,4284.10256410256,4101.02564102564,3940,4449.23076923077,4689.74358974359,1683,1695,0.916,0.0390960983932018,0,0,0,0,
26,0,0,3952.82051282051,4444.10256410256,3892.30769230769,4188.71794871795,4152.82051282051,4447.17948717949,4569.23076923077,4654.35897435897,3959.48717948718,4287.17948717949,4099.48717948718,3912.82051282051,4444.61538461538,4665.12820512821,1683,1695,0.916,0.0390960983932018,0,0,0,0,
27,0,0,3941.02564102564,4427.17948717949,3877.4358974359,4181.53846153846,4148.20512820513,4430.76923076923,4569.23076923077,4654.35897435897,3959.48717948718,4268.71794871795,4101.53846153846,3886.15384615385,4443.07692307692,4662.5641025641,1683,1694,0.916,0.0390960983932018,0,0,0,0,
28,0,0,3938.97435897436,4424.10256410256,3875.38461538462,4180.51282051282,4128.20512820513,4430.76923076923,4568.71794871795,4655.38461538462,3959.48717948718,4261.53846153846,4100.51282051282,3892.82051282051,4441.02564102564,4677.4358974359,1682,1695,0.954,0.0390960983932018,0,0,0,0,
29,0,0,3948.20512820513,4440,3888.20512820513,4186.66666666667,4142.05128205128,4452.30769230769,4568.71794871795,4655.89743589744,3959.48717948718,4267.69230769231,4094.35897435898,3946.15384615385,4436.41025641026,4685.64102564103,1683,1693,0.954,0.0390960983932018,0,0,0,0,
30,0,0,3950.76923076923,4444.10256410256,3887.69230769231,4188.20512820513,4158.97435897436,4453.84615384615,4568.71794871795,4654.35897435897,3959.48717948718,4252.82051282051,4084.10256410256,3957.4358974359,4426.15384615385,4679.48717948718,1681,1694,0.954,0.0390960983932018,0,0,0,0,
31,0,0,3942.5641025641,4436.41025641026,3874.8717948718,4181.53846153846,4142.05128205128,4434.35897435897,4568.71794871795,4654.8717948718,3959.48717948718,4232.30769230769,4080,3907.69230769231,4413.33333333333,4668.71794871795,1683,1693,0.954,0.0390960983932018,0,0,0,0,
32,0,0,3942.05128205128,4437.94871794872,3875.89743589744,4181.53846153846,4136.92307692308,4436.41025641026,4569.23076923077,4656.92307692308,3959.48717948718,4247.69230769231,4088.20512820513,3898.46153846154,4415.89743589744,4663.58974358974,1683,1693,0.954,0.0390960983932018,0,0,0,0,
33,0,0,3942.5641025641,4438.46153846154,3880.51282051282,4183.58974358974,4153.33333333333,4447.17948717949,4569.74358974359,4660,3959.48717948718,4267.17948717949,4092.30769230769,3911.28205128205,4422.05128205128,4664.61538461539,1682,1693,0.993,0.0390960983932018,0,0,0,0,
34,0,0,3944.10256410256,4434.35897435897,3876.41025641026,4182.5641025641,4157.94871794872,4443.58974358974,4569.74358974359,4658.97435897436,3959.48717948718,4261.53846153846,4087.69230769231,3911.79487179487,4410.25641025641,4671.28205128205,1682,1693,0.993,0.0390960983932018,0,0,0,0,
35,0,0,3955.89743589744,4449.23076923077,3880.51282051282,4187.69230769231,4144.61538461538,4452.30769230769,4569.74358974359,4654.35897435897,3959.48717948718,4256.41025641026,4091.79487179487,3930.76923076923,4407.69230769231,4670.25641025641,1682,1694,0.993,0.0390960983932018,0,0,0,0,
36,0,0,3956.41025641026,4466.15384615385,3895.38461538462,4191.79487179487,4131.79487179487,4456.92307692308,4569.74358974359,4655.38461538462,3959.48717948718,4262.05128205128,4093.84615384615,3929.23076923077,4422.5641025641,4663.58974358974,1682,1694,0.993,0.0390960983932018,0,0,0,0,
37,0,0,3943.58974358974,4457.94871794872,3896.41025641026,4186.66666666667,4139.48717948718,4440,4569.74358974359,4656.41025641026,3959.48717948718,4270.76923076923,4085.12820512821,3911.79487179487,4424.10256410256,4681.02564102564,1682,1694,0.993,0.0390960983932018,0,0,0,0,
38,0,0,3953.84615384615,4452.30769230769,3894.8717948718,4184.61538461538,4155.38461538462,4433.84615384615,4569.23076923077,4651.28205128205,3960,4272.30769230769,4082.05128205128,3923.07692307692,4417.4358974359,4707.69230769231,1682,1693,1.028,0.0390960983932018,0,0,0,0,
39,0,0,3969.74358974359,4458.46153846154,3904.61538461539,4188.20512820513,4156.92307692308,4443.58974358974,4568.71794871795,4653.33333333333,3958.97435897436,4265.12820512821,4086.66666666667,3913.84615384615,4417.4358974359,4696.92307692308,1682,1694,1.028,0.0390960983932018,0,0,0,0,
