COUNTER,INTERPOLATED,RAW_CQ,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, ES_TIMESTAMPFUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
119,0,460,4056.41025641026,4466.15384615385,3939.48717948718,4171.28205128205,4230.25641025641,4505.12820512821,4539.48717948718,4662.05128205128,4004.10256410256,4278.97435897436,4096.92307692308,4087.17948717949,4511.79487179487,4722.5641025641,1682,1691,0.868,0,0,0,0,0,
120,0,0,4054.35897435898,4482.5641025641,3955.89743589744,4183.07692307692,4231.28205128205,4505.12820512821,4535.38461538462,4657.94871794872,4002.5641025641,4265.64102564103,4094.35897435898,4069.74358974359,4511.28205128205,4729.74358974359,1682,1692,0.868,0,0,0,0,0,
121,0,486,4061.02564102564,4492.82051282051,3973.33333333333,4185.64102564103,4232.30769230769,4508.20512820513,4538.46153846154,4658.97435897436,3994.8717948718,4260,4095.89743589744,4091.28205128205,4523.58974358974,4772.82051282051,1683,1691,0.868,0,0,0,0,0,
122,0,435,4074.8717948718,4480.51282051282,3973.33333333333,4181.02564102564,4232.30769230769,4513.84615384615,4546.15384615385,4657.94871794872,3988.71794871795,4262.5641025641,4098.97435897436,4102.05128205128,4524.10256410256,4789.74358974359,1682,1692,0.868,0,0,0,0,0,
123,0,460,4071.79487179487,4473.33333333333,3969.74358974359,4183.07692307692,4231.79487179487,4522.05128205128,4552.82051282051,4653.84615384615,3991.28205128205,4264.10256410256,4100.51282051282,4086.15384615385,4514.8717948718,4754.8717948718,1683,1692,0.905,0.0312768779695034,0,0,0,0,
124,0,0,4055.89743589744,4486.15384615385,3976.92307692308,4186.66666666667,4235.38461538462,4521.53846153846,4554.35897435897,4657.94871794872,3995.89743589744,4271.79487179487,4098.97435897436,4093.84615384615,4524.61538461538,4746.66666666667,1681,1691,0.905,0.0312768779695034,0,0,0,0,
125,0,486,4056.92307692308,4491.28205128205,3978.46153846154,4185.64102564103,4236.92307692308,4511.28205128205,4549.23076923077,4660.51282051282,3998.97435897436,4282.05128205128,4095.89743589744,4096.41025641026,4536.41025641026,4771.79487179487,1682,1693,0.905,0.0312768779695034,0,0,0,0,
126,0,435,4070.25641025641,4489.74358974359,3966.66666666667,4186.15384615385,4234.35897435897,4508.20512820513,4548.71794871795,4654.35897435897,4003.58974358974,4285.12820512821,4094.8717948718,4078.46153846154,4531.28205128205,4764.10256410256,1681,1691,0.905,0.0312768779695034,0,0,0,0,
127,0,460,4071.79487179487,4487.17948717949,3956.92307692308,4186.15384615385,4232.30769230769,4512.30769230769,4554.35897435897,4652.82051282051,4006.15384615385,4283.07692307692,4098.46153846154,4091.28205128205,4522.5641025641,4747.17948717949,1680,1691,0.939,0.0312768779695034,0,0,0,0,
128,0,0,4059.48717948718,4480,3954.8717948718,4182.5641025641,4231.79487179487,4508.71794871795,4548.20512820513,4658.97435897436,4003.07692307692,4278.97435897436,4099.48717948718,4102.05128205128,4522.05128205128,4761.53846153846,1681,1691,0.939,0.0312768779695034,0,0,0,0,
0,0,483,4040,4472.82051282051,3957.4358974359,4181.53846153846,4229.74358974359,4504.61538461538,4540,4660.51282051282,4000.51282051282,4278.46153846154,4096.41025641026,4081.02564102564,4525.64102564103,4781.02564102564,1681,1692,0.939,0.0312768779695034,0,0,0,0,
1,0,330,4035.89743589744,4475.38461538462,3962.05128205128,4183.07692307692,4231.79487179487,4509.23076923077,4543.58974358974,4660,3996.92307692308,4281.02564102564,4093.33333333333,4076.41025641026,4527.17948717949,4778.97435897436,1681,1691,0.939,0.0312768779695034,0,0,0,0,
2,0,501,4043.07692307692,4473.33333333333,3960.51282051282,4181.02564102564,4234.35897435897,4509.23076923077,4544.61538461538,4658.46153846154,3990.25641025641,4268.20512820513,4090.76923076923,4081.53846153846,4520.51282051282,4772.30769230769,1681,1693,0.939,0.0312768779695034,0,0,0,0,
3,0,496,4043.58974358974,4469.23076923077,3958.97435897436,4178.97435897436,4232.30769230769,4506.66666666667,4544.61538461538,4655.38461538462,3987.17948717949,4254.35897435897,4091.79487179487,4065.64102564103,4504.10256410256,4764.61538461539,1682,1692,0.975,0.0312768779695034,0,0,0,0,
