COUNTER,INTERPOLATED,RAW_CQ,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, ES_TIMESTAMPFUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
32,0,0,4277.94871794872,4594.8717948718,4026.66666666667,4232.30769230769,4169.74358974359,4518.46153846154,4558.46153846154,4651.28205128205,4061.53846153846,4199.48717948718,3829.74358974359,4108.71794871795,4291.79487179487,4807.17948717949,1682,1694,0.892,0,0,0,0,0,
33,0,0,4282.05128205128,4604.10256410256,4035.89743589744,4242.5641025641,4183.58974358974,4518.97435897436,4565.64102564103,4651.79487179487,4060.51282051282,4201.53846153846,3831.79487179487,4109.23076923077,4300,4816.92307692308,1684,1692,0.892,0,0,0,0,0,
34,0,0,4294.35897435897,4614.8717948718,4040.51282051282,4251.79487179487,4188.20512820513,4526.15384615385,4571.28205128205,4655.89743589744,4062.05128205128,4216.41025641026,3833.33333333333,4129.74358974359,4307.17948717949,4835.89743589744,1682,1692,0.892,0,0,0,0,0,
35,0,0,4307.69230769231,4618.46153846154,4043.58974358974,4250.76923076923,4187.17948717949,4528.20512820513,4570.25641025641,4657.4358974359,4063.07692307692,4224.10256410256,3832.30769230769,4138.97435897436,4312.30769230769,4845.12820512821,1683,1693,0.892,0,0,0,0,0,
36,0,0,4304.61538461538,4617.94871794872,4045.12820512821,4247.69230769231,4191.79487179487,4524.10256410256,4568.71794871795,4655.89743589744,4056.41025641026,4218.97435897436,3831.79487179487,4127.17948717949,4311.28205128205,4837.4358974359,1681,1692,0.892,0.0390960983932018,0,0,0,0,
37,0,0,4297.4358974359,4616.41025641026,4039.48717948718,4246.66666666667,4179.48717948718,4522.5641025641,4565.64102564103,4651.28205128205,4050.25641025641,4213.33333333333,3830.76923076923,4120.51282051282,4302.05128205128,4830.25641025641,1682,1693,0.929,0.0390960983932018,0,0,0,0,
38,0,0,4302.5641025641,4615.89743589744,4034.35897435898,4247.17948717949,4167.69230769231,4524.61538461538,4564.61538461538,4651.28205128205,4054.8717948718,4210.25641025641,3832.82051282051,4122.5641025641,4300.51282051282,4830.25641025641,1682,1692,0.929,0.0390960983932018,0,0,0,0,
39,0,0,4308.20512820513,4615.89743589744,4034.8717948718,4248.71794871795,4180,4524.61538461538,4569.23076923077,4658.97435897436,4046.66666666667,4209.74358974359,3834.8717948718,4121.02564102564,4309.23076923077,4833.33333333333,1681,1693,0.929,0.0390960983932018,0,0,0,0,
40,0,0,4305.64102564103,4616.92307692308,4042.05128205128,4248.71794871795,4191.28205128205,4523.58974358974,4571.28205128205,4659.48717948718,4002.05128205128,4211.79487179487,3833.33333333333,4120,4311.79487179487,4841.02564102564,1681,1693,0.929,0.0390960983932018,0,0,0,0,
41,0,0,4306.15384615385,4617.94871794872,4045.64102564103,4250.25641025641,4189.74358974359,4523.58974358974,4571.28205128205,4653.84615384615,3961.02564102564,4215.38461538462,3832.82051282051,4122.05128205128,4309.74358974359,4843.58974358974,1681,1693,0.929,0.0390960983932018,0,0,0,0,
42,0,0,4303.58974358974,4613.33333333333,4034.8717948718,4251.28205128205,4187.69230769231,4522.5641025641,4569.74358974359,4655.38461538462,3961.02564102564,4215.38461538462,3833.84615384615,4124.61538461538,4308.20512820513,4828.20512820513,1682,1692,0.964,0.0390960983932018,0,0,0,0,
43,0,0,4291.79487179487,4606.15384615385,4029.23076923077,4249.23076923077,4182.5641025641,4520.51282051282,4565.64102564103,4656.92307692308,3977.94871794872,4216.92307692308,3833.84615384615,4123.07692307692,4306.15384615385,4821.53846153846,1681,1693,0.964,0.0390960983932018,0,0,0,0,
44,0,0,4286.66666666667,4601.02564102564,4036.92307692308,4245.12820512821,4175.89743589744,4520,4563.07692307692,4656.41025641026,3984.10256410256,4223.07692307692,3834.35897435898,4124.61538461538,4313.84615384615,4836.41025641026,1683,1692,0.964,0.0390960983932018,0,0,0,0,
45,0,0,4284.61538461538,4600.51282051282,4036.41025641026,4243.58974358974,4180.51282051282,4522.05128205128,4564.61538461538,4658.46153846154,3984.10256410256,4225.12820512821,3835.38461538462,4136.41025641026,4327.69230769231,4838.46153846154,1681,1692,0.964,0.0390960983932018,0,0,0,0,
46,0,0,4282.5641025641,4600.51282051282,4033.33333333333,4247.17948717949,4191.79487179487,4524.10256410256,4568.71794871795,4657.4358974359,3985.12820512821,4220.51282051282,3834.35897435898,4144.61538461538,4331.79487179487,4829.74358974359,1683,1694,0.992,0.0390960983932018,0,0,0,0,
47,0,0,4278.97435897436,4592.82051282051,4033.33333333333,4246.66666666667,4190.25641025641,4524.10256410256,4571.28205128205,4655.89743589744,3985.64102564103,4213.84615384615,3832.30769230769,4129.23076923077,4327.69230769231,4830.76923076923,1683,1692,0.992,0.0390960983932018,0,0,0,0,
48,0,0,4274.8717948718,4583.58974358974,4026.66666666667,4239.48717948718,4181.02564102564,4524.10256410256,4570.76923076923,4657.94871794872,3988.71794871795,4213.33333333333,3831.28205128205,4115.89743589744,4322.05128205128,4828.71794871795,1683,1694,0.992,0.0390960983932018,0,0,0,0,
49,0,0,4277.94871794872,4590.25641025641,4029.23076923077,4243.07692307692,4187.17948717949,4524.10256410256,4575.38461538462,4658.46153846154,3989.23076923077,4226.15384615385,3831.79487179487,4137.94871794872,4322.05128205128,4825.12820512821,1684,1693,0.992,0.0390960983932018,0,0,0,0,
