COUNTER,INTERPOLATED,RAW_CQ,AF3,F7,F3, FC5, T7, P7, O1, O2,P8, T8, FC6, F4,F8, AF4,GYROX, GYROY, TIMESTAMP, ES_TIMESTAMPFUNC_ID, FUNC_VALUE, MARKER, SYNC_SIGNAL,
10,0,445,4069.23076923077,4574.8717948718,3954.35897435898,4239.48717948718,4153.33333333333,4472.82051282051,4525.64102564103,4655.38461538462,4025.12820512821,4200.51282051282,3851.79487179487,3975.38461538462,4305.64102564103,4675.38461538462,1681,1695,0.883,0,0,0,0,0,
11,0,460,4065.64102564103,4572.30769230769,3966.66666666667,4247.69230769231,4154.35897435897,4471.79487179487,4527.69230769231,4658.46153846154,4022.5641025641,4206.66666666667,3850.76923076923,3983.07692307692,4315.38461538462,4675.38461538462,1682,1694,0.883,0,0,0,0,0,
12,0,387,4070.25641025641,4562.5641025641,3972.82051282051,4245.64102564103,4145.64102564103,4471.79487179487,4523.07692307692,4658.46153846154,4011.79487179487,4214.8717948718,3848.20512820513,3985.64102564103,4318.46153846154,4673.33333333333,1682,1694,0.883,0,0,0,0,0,
13,0,496,4077.94871794872,4553.84615384615,3964.10256410256,4234.35897435897,4146.15384615385,4473.84615384615,4527.17948717949,4654.8717948718,4004.61538461539,4215.38461538462,3848.20512820513,3974.8717948718,4318.97435897436,4682.5641025641,1683,1694,0.883,0,0,0,0,0,
14,0,445,4058.46153846154,4543.58974358974,3957.4358974359,4225.12820512821,4152.82051282051,4477.94871794872,4534.8717948718,4653.84615384615,3997.4358974359,4201.02564102564,3838.97435897436,3954.35897435898,4308.20512820513,4674.35897435897,1682,1695,0.883,0.0390960983932018,0,0,0,0,
15,0,460,4035.38461538462,4536.92307692308,3955.38461538462,4221.02564102564,4154.35897435897,4477.94871794872,4527.17948717949,4657.4358974359,3984.61538461539,4187.17948717949,3831.28205128205,3938.97435897436,4296.41025641026,4656.41025641026,1683,1694,0.921,0.0390960983932018,0,0,0,0,
16,0,0,4031.28205128205,4535.38461538462,3952.30769230769,4217.4358974359,4152.30769230769,4473.84615384615,4519.48717948718,4659.48717948718,3984.10256410256,4189.23076923077,3830.25641025641,3935.89743589744,4296.41025641026,4647.69230769231,1683,1695,0.921,0.0390960983932018,0,0,0,0,
17,0,0,4028.20512820513,4537.94871794872,3952.30769230769,4215.38461538462,4151.79487179487,4474.8717948718,4529.74358974359,4657.94871794872,4001.53846153846,4196.41025641026,3831.28205128205,3947.69230769231,4303.07692307692,4650.76923076923,1683,1694,0.921,0.0390960983932018,0,0,0,0,
18,0,0,4034.8717948718,4537.94871794872,3954.35897435898,4215.89743589744,4153.84615384615,4477.4358974359,4539.48717948718,4657.94871794872,4015.38461538462,4205.64102564103,3836.92307692308,3965.12820512821,4307.17948717949,4664.61538461539,1683,1695,0.921,0.0390960983932018,0,0,0,0,
19,0,0,4057.94871794872,4541.02564102564,3952.82051282051,4219.48717948718,4152.82051282051,4474.35897435897,4538.46153846154,4657.94871794872,4021.53846153846,4215.89743589744,3846.66666666667,3980,4310.25641025641,4670.76923076923,1683,1694,0.921,0.0390960983932018,0,0,0,0,
